,epoch,Train_accuracy,Test_accuracy
0,1,2.486,5.04
1,2,4.894,8.76
2,3,6.702,11.97
3,4,8.23,14.27
4,5,9.746,16.1
5,6,11.1,17.59
6,7,12.378,19.11
7,8,13.575999999999999,20.31
8,9,14.702000000000002,21.44
9,10,15.776000000000002,21.92
10,11,16.858,22.74
11,12,17.838,23.41
12,13,18.612000000000002,24.39
13,14,19.356,25.56
14,15,20.04,26.290000000000003
15,16,20.806,26.029999999999998
16,17,21.436,26.08
17,18,22.32,26.200000000000003
18,19,23.338,26.419999999999998
19,20,24.186,26.44
20,21,24.954,26.35
21,22,25.598,26.72
22,23,26.166,26.55
23,24,26.676,26.41
24,25,27.407999999999998,26.31
25,26,27.888,26.41
26,27,28.26,26.77
27,28,28.914,27.48
28,29,29.834,25.990000000000002
29,30,31.022,25.380000000000003
30,31,32.078,25.2
31,32,32.966,25.28
32,33,33.513999999999996,24.44
33,34,33.967999999999996,23.119999999999997
34,35,34.36,21.32
35,36,34.586,21.07
36,37,35.926,21.55
37,38,37.976,21.41
38,39,39.844,21.44
39,40,41.012,21.54
40,41,41.18,22.36
41,42,40.82,22.57
42,43,40.876000000000005,23.07
43,44,41.766,22.21
44,45,43.552,21.82
45,46,45.544000000000004,21.4
46,47,47.178,20.84
47,48,48.065999999999995,20.119999999999997
48,49,47.8,19.89
49,50,47.29,19.950000000000003
50,51,47.728,19.62
51,52,49.732,19.25
52,53,51.598,19.33
53,54,53.142,19.41
54,55,53.891999999999996,19.220000000000002
55,56,54.20399999999999,19.650000000000002
56,57,55.013999999999996,19.25
57,58,56.506,17.990000000000002
58,59,59.046,16.74
59,60,61.334,16.24
60,61,63.22,16.8
61,62,64.2,17.4
62,63,64.18199999999999,16.919999999999998
63,64,64.348,17.919999999999998
64,65,65.16999999999999,18.18
65,66,66.67999999999999,17.84
66,67,68.35,16.93
67,68,69.216,17.48
68,69,69.542,17.59
69,70,69.304,17.82
70,71,69.366,17.51
71,72,70.76599999999999,17.76
72,73,72.552,16.88
73,74,73.962,16.64
74,75,75.17200000000001,16.89
75,76,76.55,16.91
76,77,77.74799999999999,18.21
77,78,78.904,18.279999999999998
78,79,79.93599999999999,17.68
79,80,80.96,17.849999999999998
80,81,81.57,18.04
81,82,82.866,18.44
82,83,83.674,18.509999999999998
83,84,85.312,18.22
84,85,86.144,18.529999999999998
85,86,86.644,18.38
86,87,87.37,19.139999999999997
87,88,88.386,18.38
88,89,89.474,18.42
89,90,90.216,18.68
90,91,90.68,18.78
91,92,91.45400000000001,18.14
92,93,92.158,18.26
93,94,92.554,18.34
94,95,93.028,18.34
95,96,93.598,18.98
96,97,93.95400000000001,18.91
97,98,94.336,18.63
98,99,94.684,18.34
99,100,95.042,18.5
100,101,95.216,18.54
101,102,95.75399999999999,18.19
102,103,96.024,18.22
103,104,95.906,17.83
104,105,95.89999999999999,17.84
105,106,96.13199999999999,17.88
106,107,96.17,18.54
107,108,96.30199999999999,18.47
108,109,96.446,18.75
109,110,96.554,18.509999999999998
110,111,96.732,18.69
111,112,96.882,18.69
112,113,96.856,19.0
113,114,96.812,18.82
114,115,96.87400000000001,18.42
115,116,96.856,18.279999999999998
116,117,97.052,18.43
117,118,97.25200000000001,18.58
118,119,97.236,18.21
119,120,97.426,18.72
120,121,97.57000000000001,18.14
121,122,97.48400000000001,17.52
122,123,97.45,18.360000000000003
123,124,97.524,17.77
124,125,97.382,18.15
125,126,97.53,18.27
126,127,97.738,18.8
127,128,97.83,18.73
128,129,97.82600000000001,18.41
129,130,97.892,18.56
130,131,97.95,18.85
131,132,97.78999999999999,18.39
132,133,97.614,19.06
133,134,98.212,18.72
134,135,98.018,18.55
135,136,98.044,18.790000000000003
136,137,97.92,18.790000000000003
137,138,98.09400000000001,18.66
138,139,98.096,19.1
139,140,97.942,18.34
140,141,98.086,18.709999999999997
141,142,98.138,18.82
142,143,98.072,18.83
143,144,98.252,18.21
144,145,98.15,19.07
145,146,98.11800000000001,18.94
146,147,98.236,19.18
147,148,98.322,19.18
148,149,98.316,18.459999999999997
149,150,98.482,18.65
150,151,98.282,19.139999999999997
151,152,98.4,19.009999999999998
152,153,98.49799999999999,19.21
153,154,98.14,18.92
154,155,98.436,19.28
155,156,98.408,19.46
156,157,98.578,19.32
157,158,98.468,18.89
158,159,98.438,18.990000000000002
159,160,98.5,19.32
160,161,98.512,19.27
161,162,98.528,19.400000000000002
162,163,98.434,19.650000000000002
163,164,98.55199999999999,19.259999999999998
164,165,98.59599999999999,19.81
165,166,98.46000000000001,19.02
166,167,98.462,19.439999999999998
167,168,98.52,19.66
168,169,98.586,19.64
169,170,98.706,18.88
170,171,98.438,19.62
171,172,98.664,20.419999999999998
172,173,98.688,19.400000000000002
173,174,98.768,19.939999999999998
174,175,98.694,19.79
175,176,98.424,19.93
176,177,98.678,19.85
177,178,98.638,19.39
178,179,98.668,19.32
179,180,98.618,19.06
180,181,98.56,18.790000000000003
181,182,98.91799999999999,20.5
182,183,98.68400000000001,20.06
183,184,98.72800000000001,19.67
184,185,98.83999999999999,19.24
185,186,98.9,19.5
186,187,98.63199999999999,19.869999999999997
187,188,98.712,19.85
188,189,98.688,19.59
189,190,98.89,20.69
190,191,98.748,19.71
191,192,98.894,20.34
192,193,98.91,20.150000000000002
193,194,98.79,19.75
194,195,98.79599999999999,19.82
195,196,98.762,19.79
196,197,99.068,20.05
197,198,98.866,19.71
198,199,98.802,20.03
199,200,98.76599999999999,20.13
200,201,98.956,20.21
201,202,98.97,20.51
202,203,98.804,19.57
203,204,98.70400000000001,20.03
204,205,99.044,20.69
205,206,98.908,20.77
206,207,99.11,20.06
