,epoch,Train_accuracy,Test_accuracy
0,1,11.254,21.97
1,2,12.826,27.43
2,3,13.788,30.959999999999997
3,4,14.474,33.75
4,5,15.092,35.85
5,6,15.862000000000002,38.39
6,7,16.334,39.36
7,8,17.113999999999997,39.2
8,9,17.668,42.4
9,10,18.292,43.84
10,11,18.898,43.46
11,12,19.74,43.14
12,13,20.538,43.94
13,14,21.72,42.17
14,15,22.828,39.24
15,16,24.442,39.050000000000004
16,17,26.246000000000002,35.03
17,18,28.332,32.97
18,19,30.53,30.9
19,20,33.548,30.570000000000004
20,21,36.536,29.470000000000002
21,22,39.634,27.950000000000003
22,23,42.874,25.16
23,24,46.206,23.13
24,25,49.562,23.25
25,26,52.974,22.98
26,27,56.272,22.62
27,28,59.47,21.15
28,29,62.94800000000001,21.4
29,30,65.422,21.11
30,31,68.142,19.98
31,32,70.294,20.86
32,33,72.934,19.06
33,34,74.678,20.169999999999998
34,35,76.3,19.56
35,36,78.592,18.35
36,37,79.526,17.86
37,38,80.84599999999999,18.14
38,39,81.794,19.009999999999998
39,40,82.918,19.78
40,41,84.018,18.7
41,42,84.97,18.92
42,43,86.03,18.16
43,44,86.558,17.65
44,45,86.764,18.56
45,46,87.616,18.09
46,47,88.25800000000001,18.04
47,48,88.724,18.990000000000002
48,49,88.924,17.41
49,50,90.084,17.83
50,51,90.25800000000001,18.279999999999998
51,52,90.63799999999999,18.490000000000002
52,53,90.634,16.81
53,54,91.238,17.79
54,55,91.132,18.509999999999998
55,56,91.518,18.73
56,57,92.30199999999999,18.96
57,58,92.476,18.5
58,59,92.46,18.310000000000002
59,60,92.714,18.65
60,61,93.06,17.91
61,62,93.768,18.21
62,63,93.096,18.15
63,64,93.352,18.45
64,65,93.904,18.4
65,66,93.994,18.65
66,67,93.78,18.64
67,68,94.438,18.27
68,69,94.13,17.62
69,70,94.624,18.029999999999998
70,71,94.622,17.84
71,72,94.55799999999999,18.37
72,73,94.846,18.45
73,74,94.838,18.25
74,75,95.334,17.83
75,76,95.03200000000001,18.5
76,77,95.136,18.43
77,78,95.318,18.37
78,79,95.50999999999999,17.2
79,80,95.14399999999999,18.94
80,81,95.696,18.279999999999998
81,82,95.92,18.34
82,83,95.45,18.01
83,84,95.59,17.2
84,85,95.914,18.5
85,86,96.16,17.98
86,87,95.894,17.47
87,88,95.64,18.91
88,89,96.164,18.240000000000002
89,90,96.23,18.099999999999998
90,91,96.04599999999999,18.44
91,92,96.326,17.46
92,93,96.312,16.77
93,94,95.992,18.55
94,95,96.318,17.59
95,96,96.414,18.44
96,97,96.58200000000001,18.56
97,98,96.54,17.75
98,99,96.328,17.73
99,100,96.77799999999999,18.240000000000002
100,101,96.434,18.66
101,102,96.666,17.26
102,103,96.77799999999999,18.33
103,104,96.41,18.0
104,105,96.678,18.01
105,106,96.822,18.6
106,107,96.56400000000001,18.32
107,108,97.142,17.47
108,109,96.86399999999999,18.96
109,110,96.816,18.41
110,111,96.866,16.84
111,112,96.898,17.61
112,113,96.93,18.3
113,114,97.074,17.740000000000002
114,115,96.86,17.54
115,116,96.964,17.5
116,117,97.052,17.51
117,118,97.036,17.330000000000002
118,119,97.096,19.54
119,120,96.966,17.52
120,121,97.274,18.099999999999998
121,122,96.87400000000001,18.41
122,123,97.422,17.669999999999998
123,124,96.976,18.4
124,125,97.15599999999999,18.44
125,126,97.392,18.240000000000002
126,127,97.112,18.25
127,128,97.148,17.71
128,129,97.564,18.14
129,130,97.036,19.12
130,131,97.382,18.529999999999998
131,132,97.26599999999999,18.709999999999997
132,133,97.462,17.7
133,134,97.236,18.89
134,135,97.752,17.990000000000002
135,136,97.452,18.4
136,137,97.494,18.27
137,138,97.25399999999999,18.18
138,139,97.402,18.09
139,140,97.664,18.44
140,141,97.624,18.01
141,142,97.274,18.0
142,143,97.794,18.23
143,144,97.358,19.03
144,145,97.648,18.39
145,146,97.566,17.46
146,147,97.47,17.990000000000002
147,148,97.57400000000001,18.02
148,149,97.898,17.9
149,150,97.5,18.05
150,151,97.596,17.64
151,152,97.748,18.98
152,153,97.526,17.669999999999998
153,154,97.824,18.5
154,155,97.54,18.04
155,156,97.768,18.279999999999998
156,157,97.878,17.86
157,158,97.848,18.69
158,159,97.76599999999999,19.52
159,160,97.756,18.64
160,161,97.558,18.02
161,162,97.932,16.66
162,163,97.76599999999999,17.59
163,164,97.65,17.19
164,165,97.976,18.56
165,166,97.968,17.299999999999997
166,167,97.82,17.299999999999997
167,168,97.75399999999999,17.83
168,169,97.928,17.740000000000002
169,170,97.78,18.16
170,171,97.99,18.15
171,172,97.94,18.41
172,173,97.906,17.98
173,174,97.872,17.79
174,175,97.596,18.310000000000002
175,176,98.06200000000001,18.6
176,177,97.892,18.490000000000002
177,178,98.026,18.47
178,179,98.166,17.88
179,180,98.05,18.37
180,181,97.80799999999999,17.53
181,182,98.14,16.79
182,183,97.80799999999999,17.7
183,184,98.08,17.82
184,185,98.13199999999999,18.42
185,186,98.064,17.94
186,187,97.846,17.330000000000002
187,188,98.074,17.94
188,189,97.892,18.25
189,190,98.13199999999999,17.630000000000003
190,191,98.038,18.060000000000002
191,192,98.074,18.11
192,193,97.922,17.78
193,194,98.20400000000001,18.07
194,195,98.136,17.8
195,196,98.042,17.93
196,197,98.142,18.5
197,198,98.124,18.15
198,199,97.958,18.09
199,200,98.146,18.88
200,201,98.178,17.65
201,202,98.344,16.12
202,203,98.08200000000001,17.22
203,204,97.99799999999999,18.490000000000002
204,205,98.336,17.76
205,206,98.002,17.94
206,207,98.212,17.83
207,208,98.466,18.060000000000002
208,209,98.18599999999999,17.82
209,210,98.214,17.14
210,211,98.024,17.380000000000003
211,212,98.276,18.62
212,213,98.416,17.88
213,214,97.992,17.419999999999998
214,215,98.354,18.73
215,216,98.29599999999999,16.98
216,217,98.14399999999999,18.09
217,218,98.436,17.27
218,219,98.11800000000001,16.470000000000002
219,220,98.19200000000001,17.88
220,221,98.36,17.98
221,222,98.22,18.37
222,223,98.402,18.65
