,epoch,Train_accuracy,Test_accuracy
0,1,16.77,64.9
1,2,21.9083333333333,73
2,3,22.87,76.02
3,4,23.4733333333333,78.68
4,5,23.8216666666667,79.64
5,6,24.1316666666667,80.37
6,7,24.335,80.82
7,8,24.475,81.08
8,9,24.58,81.56
9,10,24.79,82.19
10,11,24.92,82.37
11,12,25.0866666666667,82.34
12,13,25.22,82.38
13,14,25.3866666666667,82.79
14,15,25.5133333333333,82.8
15,16,25.655,82.46
16,17,25.8833333333333,82.51
17,18,26.075,82.18
18,19,26.25,81.49
19,20,26.46,80.89
20,21,26.62,80.81
21,22,26.8533333333333,79.51
22,23,27.0783333333333,79.16
23,24,27.2333333333333,78.52
24,25,27.5883333333333,77.88
25,26,28.0216666666667,76.93
26,27,28.6733333333333,73.99
27,28,28.98,71.96
28,29,29.72,68.87
29,30,30.305,66.47
30,31,30.6916666666667,65.53
31,32,30.8466666666667,64.22
32,33,31.3733333333333,62.77
33,34,31.9666666666667,61.95
34,35,32.305,60.52
35,36,32.8133333333333,60.23
36,37,32.9116666666667,60.12
37,38,33.4366666666667,56.31
38,39,33.85,53.8
39,40,33.935,53.23
40,41,34.3683333333333,54.02
41,42,34.7583333333333,55.53
42,43,34.8283333333333,56.72
43,44,35.6816666666667,55.17
44,45,36.1083333333333,54.71
45,46,37.07,53.15
46,47,37.3583333333333,51.82
47,48,37.155,51.26
48,49,37.3083333333333,50.3
49,50,37.3283333333333,50.37
50,51,37.4666666666667,50.23
51,52,38.2383333333333,49.5
52,53,38.9066666666667,49.17
53,54,39.8166666666667,48.25
54,55,40.8183333333333,48.15
55,56,41.65,46.18
56,57,42.1716666666667,45.63
57,58,43.1816666666667,44.79
58,59,43.5533333333333,43.8
59,60,44.1433333333333,43.55
60,61,44.3316666666667,41.59
61,62,44.2283333333333,37.9
62,63,44.695,37.86
63,64,44.9516666666667,37.62
64,65,45.6016666666667,37.55
65,66,45.3916666666667,39.74
66,67,45.9466666666667,40.19
67,68,46.7866666666667,37.84
68,69,47.3783333333333,36.67
69,70,47.6766666666667,36.83
70,71,48.53,36.35
71,72,49.11,35.39
72,73,48.8416666666667,34.63
73,74,49.1466666666667,34.7
74,75,48.27,35.01
75,76,48.585,34.55
76,77,48.255,34.4
77,78,47.8133333333333,34.61
78,79,47.8566666666667,35.48
79,80,48.1766666666667,36.22
80,81,49.2033333333333,35.58
81,82,49.6766666666667,35.78
82,83,50.2816666666667,35.8
83,84,51.0566666666667,36.09
84,85,51.7416666666667,36.26
85,86,51.9,36.28
86,87,52.155,35.48
87,88,53.0033333333333,35.22
88,89,53.4316666666667,35.12
89,90,53.2166666666667,35.09
90,91,53.395,34.31
91,92,54.1766666666667,35.44
92,93,54.5316666666667,34.75
93,94,54.61,34.8
94,95,54.76,35.21
95,96,55.0066666666667,35.21
96,97,55.4416666666667,34.97
97,98,55.5783333333333,33.89
98,99,55.7933333333333,34.05
99,100,55.76,34.48
100,101,56.0883333333333,34.15
101,102,56.5366666666667,34.08
102,103,56.5666666666667,34.1
103,104,56.85,32.69
104,105,57.3783333333333,32.4
105,106,57.695,34.14
106,107,58.0533333333333,33.39
107,108,58.0733333333333,34.05
108,109,58.28,34.94
109,110,58.4016666666667,34.66
110,111,58.215,34.85
111,112,58.5033333333333,34.52
112,113,58.0466666666667,35.8
113,114,57.9033333333333,35.52
114,115,57.9283333333333,36.47
115,116,57.6916666666667,35.75
116,117,57.8383333333333,36.06
117,118,58.11,36.95
118,119,58.4466666666667,36.42
119,120,58.785,36.38
120,121,59.6216666666667,35.63
121,122,59.64,34.96
122,123,59.34,34.67
123,124,59.1466666666667,35.53
124,125,59.035,33.99
125,126,59.6466666666667,34.04
126,127,59.86,33.73
127,128,60.86,34.13
128,129,60.8583333333333,33.37
129,130,60.8966666666667,33.25
130,131,61.155,33.02
131,132,61.4233333333333,32.2
132,133,60.9916666666667,32.44
133,134,60.15,32.01
134,135,60.21,31.51
135,136,60.5833333333333,31.64
136,137,61.3833333333333,30.66
137,138,61.81,31.21
138,139,62.24,31.37
139,140,62.6533333333333,31.19
140,141,62.8166666666667,32.08
141,142,62.955,32.1
142,143,63.3233333333333,31.69
143,144,63.2,32.27
144,145,63.245,32.88
145,146,64.2216666666667,33.54
146,147,64.2566666666667,33.19
147,148,64.315,33.35
148,149,63.9466666666667,32.87
149,150,64.01,33.25
150,151,63.715,31.61
151,152,63.9033333333333,32.27
152,153,63.9083333333333,31.73
153,154,63.9966666666667,32.28
154,155,63.9183333333333,31.61
155,156,63.9933333333333,32.15
156,157,64.1133333333333,31.26
157,158,64.3283333333333,31.77
158,159,64.8116666666667,30.98
159,160,65.3433333333333,31.25
160,161,65.515,31.34
161,162,65.03,31.08
162,163,65.0333333333333,31.35
163,164,64.9016666666667,30
164,165,64.9616666666667,30.4
165,166,65.1733333333333,30.65
166,167,66.2116666666667,30.05
167,168,66.27,29.2
168,169,67.0983333333333,30.02
169,170,67.8383333333333,29.44
170,171,67.6216666666667,29.95
171,172,67.8033333333333,30.01
172,173,67.6,31.3
173,174,67.7916666666667,31.88
174,175,67.8383333333333,30.72
175,176,68.305,31.68
176,177,68.3233333333333,30.43
177,178,68.6483333333333,30.18
178,179,69.1783333333333,30.18
179,180,69.945,30.06
180,181,70.22,30.16
181,182,70.1766666666667,29.63
182,183,70.61,30.34
183,184,70.8883333333333,29.69
184,185,71.2116666666667,29.57
185,186,71.755,29.03
186,187,71.9616666666667,30.48
187,188,72.0333333333333,30.4
188,189,72.305,29.69
189,190,72.4666666666667,29.28
190,191,71.9533333333333,29.85
191,192,72.855,29.32
192,193,72.1166666666667,29.39
193,194,72.4316666666667,29.93
194,195,72.7233333333333,29.45
195,196,72.4333333333333,29.03
196,197,72.2566666666667,28.8
197,198,72.265,29.06
198,199,72.1616666666667,29.8
199,200,71.965,29.32
200,201,72.1633333333333,29.02
201,202,72.1933333333333,28.89
202,203,72.5733333333333,30.07
203,204,72.1816666666667,29.34
204,205,72.0983333333333,29.3
205,206,72.2716666666667,29.77
206,207,72.2833333333333,29.59
207,208,72.645,29.61
208,209,72.965,29.29
209,210,73.46,29.69
210,211,73.74,29.04
211,212,74.0933333333333,28.53
212,213,74.6833333333333,28.91
213,214,74.98,29.12
214,215,75.6766666666667,28.34
215,216,75.4683333333333,28.55
216,217,75.4283333333333,28.56
217,218,75.905,28.71
218,219,76.1866666666667,28.46
219,220,76.4666666666667,28.89
220,221,76.2883333333333,27.57
221,222,76.4416666666667,27.52
222,223,76.5466666666667,27.19
223,224,76.79,27.55
224,225,76.565,28.1
225,226,76.3583333333333,27.95
226,227,76.8716666666667,27.87
227,228,77.14,27.42
228,229,76.98,27.45
229,230,77.1333333333333,27.47
230,231,77.1533333333333,28.47
231,232,77.29,27.8
232,233,77.255,27.55
233,234,77.6,27.3
234,235,78.025,26.92
235,236,77.76,27.01
236,237,78.0066666666667,28.11
237,238,78.1283333333333,27.01
238,239,78.2466666666667,27.31
239,240,78.4633333333333,27.14
240,241,78.075,27.25
241,242,78.36,26.28
242,243,78.815,27.08
243,244,78.2716666666667,27.31
244,245,78.0133333333333,27.22
245,246,77.75,28.16
246,247,78.2316666666667,27.71
247,248,78.5533333333333,27.51
248,249,77.8566666666667,27.67
249,250,77.47,27.33
250,251,77.7683333333333,28.48
251,252,77.8483333333333,29.17
252,253,77.995,28
253,254,78.495,29.08
254,255,79.0666666666667,29.09
255,256,79.2983333333333,29.23
256,257,79.19,28.27
257,258,79.2716666666667,28.81
258,259,79.6783333333333,29
259,260,79.8416666666667,27.21
260,261,80.4483333333333,27.4
261,262,80.1966666666667,28.49
262,263,80.1616666666667,28.18
263,264,80.3433333333333,27.63
264,265,80.8466666666667,27.31
265,266,80.73,28.45
266,267,81.48,27.95
267,268,81.5866666666667,27.82
268,269,81.4783333333333,27.38
269,270,81.77,26.25
270,271,81.9633333333333,27.18
271,272,81.595,26.97
272,273,81.8833333333333,26.9
273,274,81.8316666666667,27.43
274,275,82.3916666666667,26.66
275,276,82.2333333333333,27.01
276,277,82.545,26.23
277,278,82.45,26.67
278,279,82.3283333333333,27.17
279,280,82.0166666666667,26.42
280,281,82.39,26.04
281,282,82.2166666666667,25.78
282,283,82.0066666666667,26.4
283,284,81.9316666666667,25.92
284,285,81.95,26.96
285,286,82.1533333333333,26.64
286,287,82.255,27.18
287,288,82.8016666666667,27.15
288,289,82.8783333333333,26.68
289,290,83.155,26.59
290,291,83.3883333333333,26.31
291,292,83.1533333333333,25.23
292,293,83.2083333333333,25.89
293,294,82.9783333333333,26.6
294,295,83.3233333333333,26.14
295,296,83.115,26.19
296,297,82.6933333333333,26.48
297,298,83.19,26.45
298,299,83.7483333333333,26.33
299,300,83.6666666666667,26.41
300,301,83.3216666666667,26.56
301,302,83.2883333333333,26.96
302,303,83.5916666666667,26.36
303,304,83.5616666666667,27.35
304,305,83.56,25.96
305,306,83.7433333333333,25.78
306,307,83.7416666666667,27.25
307,308,83.825,26.33
308,309,84.0066666666667,25.8
309,310,83.9983333333333,26.52
310,311,84.01,27.05
311,312,84.0233333333334,27.09
312,313,83.9033333333333,26.98
313,314,84.2233333333333,26.81
314,315,83.83,26.9
315,316,83.855,28.63
316,317,84.02,27.26
317,318,83.735,27.13
318,319,83.63,27.12
319,320,83.825,26.61
320,321,84.0633333333333,26.91
321,322,84.1016666666667,27.37
322,323,84.0316666666667,26.73
323,324,83.6933333333333,27.12
324,325,84.0266666666667,26.17
325,326,84.1316666666667,26.23
326,327,84.3866666666667,25.56
327,328,83.9233333333333,25.98
328,329,84.105,25.12
329,330,84.1383333333333,26.02
330,331,84.315,25.85
331,332,84.2766666666667,25.94
332,333,83.89,25.89
333,334,83.875,25.89
334,335,84.1483333333333,25.34
335,336,84.1266666666667,25.83
336,337,84.4133333333333,25.69
337,338,84.0733333333333,25.57
338,339,84.3,25.95
339,340,84.3283333333333,25.58
340,341,84.525,25.78
341,342,84.62,25.6
342,343,84.285,26.09
343,344,84.2616666666667,25.94
344,345,84.4233333333333,25.78
345,346,84.4766666666667,26.21
346,347,84.7366666666667,25.6
347,348,84.28,26.39
348,349,84.4783333333333,26.27
349,350,84.5216666666667,26.03
350,351,84.0433333333333,25.59
351,352,84.3366666666667,26.64
352,353,84.39,26.67
353,354,84.5383333333333,26.84
354,355,84.7183333333333,26.35
355,356,84.9233333333333,25.59
356,357,85.0116666666667,26.3
357,358,84.6633333333334,26.32
358,359,84.74,26.5
359,360,85.2616666666667,25.78
360,361,85.2183333333333,26.05
361,362,85.405,25.95
362,363,85.66,25.98
363,364,85.5666666666667,25.63
