,epoch,Train_accuracy,Test_accuracy
0,1,59.86333333333334,91.89
1,2,77.75833333333333,96.2
2,3,79.36166666666666,97.55
3,4,80.02,98.15
4,5,80.45166666666667,98.47
5,6,80.69666666666667,98.65
6,7,80.88166666666666,98.68
7,8,81.02000000000001,98.76
8,9,81.15666666666667,98.72
9,10,81.22500000000001,98.85000000000001
10,11,81.29833333333333,98.87
11,12,81.34333333333333,98.92999999999999
12,13,81.42,98.88
13,14,81.47333333333333,98.89
14,15,81.54333333333334,98.9
15,16,81.61500000000001,98.85000000000001
16,17,81.67,98.82
17,18,81.74,98.65
18,19,81.79333333333332,98.59
19,20,81.84166666666667,98.47
20,21,81.88,98.28
21,22,81.915,98.07000000000001
22,23,81.99666666666666,97.66
23,24,82.065,97.38
24,25,82.11666666666667,96.88
25,26,82.17833333333333,96.14
26,27,82.30166666666666,95.72
27,28,82.39,95.33
28,29,82.51666666666667,94.83
29,30,82.69166666666666,95.12
30,31,82.86166666666666,95.33
31,32,83.04,95.28999999999999
32,33,83.19666666666666,95.28
33,34,83.49499999999999,94.62
34,35,83.675,94.08999999999999
35,36,84.01333333333334,93.2
36,37,84.21666666666667,93.08
37,38,84.515,92.42
38,39,84.69,91.79
39,40,85.10166666666666,91.33
40,41,85.32333333333332,90.79
41,42,85.55166666666668,89.1
42,43,85.83833333333334,88.34
43,44,86.14,86.28
44,45,86.47666666666667,86.11
45,46,86.675,85.06
46,47,86.82833333333333,86.86
47,48,87.23833333333333,87.06
48,49,87.45166666666667,87.39
49,50,87.86500000000001,87.46000000000001
50,51,88.35,87.82
51,52,88.54166666666666,87.42
52,53,88.57000000000001,87.83
53,54,88.95666666666666,86.11
54,55,89.235,86.99
55,56,89.3,87.38
56,57,89.575,86.66
57,58,89.68666666666667,88.14
58,59,90.06333333333333,87.18
59,60,90.06333333333333,87.45
60,61,90.45333333333333,85.97
61,62,90.87666666666667,85.9
62,63,91.03999999999999,86.87
63,64,91.235,86.06
64,65,91.54166666666667,85.95
65,66,91.83,85.13
66,67,91.76666666666667,85.66
67,68,91.93,84.99
68,69,92.25,83.66
69,70,92.41333333333334,82.94
70,71,92.49166666666667,84.25
71,72,92.62666666666667,84.32
72,73,92.94333333333333,84.86
73,74,93.20666666666668,86.45
74,75,93.2,87.87
75,76,93.39666666666666,87.18
76,77,93.43666666666667,87.14
77,78,93.66833333333334,87.16000000000001
78,79,93.57166666666666,86.63
79,80,93.82000000000001,86.48
80,81,93.95666666666666,85.54
81,82,93.935,86.4
82,83,93.865,85.96000000000001
83,84,94.04666666666667,85.04
84,85,94.25333333333333,84.57000000000001
85,86,94.545,85.08
86,87,94.33,85.03
87,88,94.415,85.72
88,89,94.60499999999999,85.28
89,90,95.19833333333332,84.96000000000001
90,91,94.95333333333333,84.61999999999999
91,92,94.97166666666666,85.44
92,93,94.94,84.35000000000001
93,94,95.05833333333334,84.23
94,95,95.11166666666668,85.04
95,96,95.39666666666666,86.0
96,97,95.21833333333333,84.7
97,98,95.205,85.03
98,99,95.46666666666667,86.71
99,100,95.29833333333333,85.26
100,101,95.59,84.52
101,102,95.55,85.35000000000001
102,103,95.70166666666667,86.1
103,104,95.675,85.8
104,105,95.75166666666667,84.75
105,106,95.755,85.68
106,107,95.95666666666666,84.67
107,108,96.02666666666667,84.08
108,109,96.10333333333332,84.61
109,110,96.21666666666667,85.02
110,111,96.0,84.8
111,112,96.01333333333332,84.59
112,113,96.23666666666666,85.47
113,114,96.28833333333333,85.03
114,115,96.40833333333333,84.06
115,116,96.32166666666667,87.22999999999999
116,117,96.39166666666667,85.38
117,118,96.34666666666666,85.36
118,119,96.53,86.85000000000001
119,120,96.63333333333334,86.46000000000001
120,121,96.285,85.74000000000001
121,122,96.56,86.47
122,123,96.60833333333333,85.27
123,124,96.56333333333333,86.49
124,125,96.66666666666667,86.66
125,126,96.68333333333334,85.78
126,127,96.82666666666667,85.63
127,128,96.72500000000001,86.44
128,129,96.69,86.39
129,130,96.80666666666666,87.82
130,131,96.83,87.33
131,132,97.08,86.47
132,133,96.91333333333333,84.71
133,134,96.73,85.59
134,135,96.89833333333333,86.55000000000001
135,136,97.23,86.33
136,137,97.06166666666667,86.08
