,epoch,Train_accuracy,Test_accuracy
0,1,0.496,0.54
1,2,0.538,0.84
2,3,0.592,1.24
3,4,0.69,1.47
4,5,0.732,1.53
5,6,0.7849999999999999,1.6400000000000001
6,7,0.819,1.7399999999999998
7,8,0.865,1.9300000000000002
8,9,0.8540000000000001,1.76
9,10,0.9249999999999999,1.97
10,11,0.9860000000000001,2.15
11,12,1.072,2.12
12,13,1.127,2.0
13,14,1.283,1.82
14,15,1.465,1.76
15,16,1.6150000000000002,1.95
16,17,1.822,1.8499999999999999
17,18,2.0820000000000003,2.06
18,19,2.289,1.91
19,20,2.545,1.96
20,21,2.795,1.92
21,22,3.124,1.92
22,23,3.325,2.08
23,24,3.721,1.92
24,25,3.9379999999999997,1.59
25,26,4.390000000000001,1.6500000000000001
26,27,4.695,1.77
27,28,5.16,1.66
28,29,5.443,1.67
29,30,5.745,1.5599999999999998
30,31,6.062,1.47
31,32,6.6530000000000005,1.71
32,33,7.031,1.58
33,34,7.284,1.72
34,35,7.898,1.6
35,36,8.097,1.48
36,37,8.841000000000001,1.28
37,38,9.241000000000001,1.43
38,39,9.679,1.4200000000000002
39,40,10.145999999999999,1.41
40,41,10.548,1.41
41,42,11.31,1.1900000000000002
42,43,11.491999999999999,1.52
43,44,12.433,1.35
44,45,13.120000000000001,1.16
45,46,13.200999999999999,1.21
46,47,13.664000000000001,1.3
47,48,14.511,1.34
48,49,15.442,1.26
49,50,15.726999999999999,1.32
50,51,16.381,1.29
51,52,17.288999999999998,1.38
52,53,18.085,1.3299999999999998
53,54,18.075,1.28
54,55,18.816,1.21
55,56,19.994,1.25
56,57,20.276,1.28
57,58,21.012,1.23
58,59,21.666,1.23
59,60,22.442999999999998,1.2
60,61,22.877,1.41
61,62,23.613,1.13
62,63,24.651,1.1400000000000001
63,64,25.247999999999998,1.0999999999999999
64,65,25.665,1.22
65,66,26.663999999999998,1.1400000000000001
66,67,27.685,1.13
67,68,27.916,1.06
68,69,28.315,1.1400000000000001
69,70,28.937,1.1400000000000001
70,71,29.837999999999997,1.26
71,72,30.053,1.13
72,73,31.288,1.13
73,74,32.102000000000004,1.09
74,75,32.066,1.13
75,76,32.324000000000005,1.1199999999999999
76,77,33.706,1.06
77,78,35.073,1.0999999999999999
78,79,35.103,0.98
79,80,34.618,0.9900000000000001
80,81,35.42,0.97
81,82,36.126999999999995,1.02
82,83,37.53,1.03
83,84,37.094,1.13
84,85,38.035999999999994,0.9900000000000001
85,86,38.189,0.8699999999999999
86,87,38.754,1.01
87,88,38.881,1.11
88,89,40.262,1.1400000000000001
89,90,40.522999999999996,1.0
90,91,40.437,1.0
91,92,40.961,1.04
92,93,41.932,1.16
93,94,41.801,1.01
94,95,42.215,0.88
95,96,43.202,0.96
96,97,44.361,0.9299999999999999
97,98,42.718,0.84
98,99,43.644,0.8500000000000001
99,100,44.912,1.03
100,101,45.515,0.9400000000000001
101,102,44.278,0.98
102,103,45.363,1.01
103,104,45.826,1.04
104,105,45.289,0.96
105,106,46.571,0.8699999999999999
106,107,46.322,1.0
107,108,46.953,1.02
108,109,47.627,0.98
109,110,48.186,0.95
110,111,49.666,0.8999999999999999
111,112,47.698,1.04
112,113,48.516999999999996,0.89
113,114,48.379,0.9299999999999999
114,115,48.650999999999996,1.03
115,116,48.007,1.04
116,117,48.449,1.08
117,118,51.158,1.02
118,119,50.219,0.96
119,120,50.345,0.9400000000000001
120,121,51.162,0.76
121,122,51.032,0.89
122,123,50.08899999999999,0.79
123,124,49.966,0.8
124,125,52.539,0.9299999999999999
125,126,52.754999999999995,0.95
126,127,51.568000000000005,0.91
127,128,51.672,0.79
128,129,51.684,0.97
129,130,52.512,0.9400000000000001
130,131,52.807,0.8099999999999999
131,132,52.256,0.8699999999999999
132,133,53.471999999999994,0.9199999999999999
133,134,52.846000000000004,0.8999999999999999
134,135,53.793,0.9299999999999999
135,136,53.54600000000001,0.8200000000000001
136,137,53.859,0.91
137,138,55.10699999999999,0.9299999999999999
138,139,54.423,0.83
